,Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2007,Germany,Female,NO,YES,10072.55,YES
2008,France,Male,YES,NO,187296.78,NO
2009,Germany,Male,YES,NO,104016.61,YES
2010,Spain,Female,YES,YES,151310.16,NO
2011,France,Male,NO,YES,62810.91,NO
2012,France,Male,NO,YES,60830.38,NO
2013,Germany,Male,YES,NO,116672.02,NO
2014,France,Male,YES,NO,77304.49,NO
2015,Germany,Female,YES,YES,52894.01,NO
2016,France,Male,YES,YES,116471.43,NO
2017,Spain,Female,NO,NO,4539.38,NO
2018,Germany,Male,YES,NO,142367.72,NO
2019,France,Male,YES,YES,110520.48,NO
2020,Germany,Female,YES,NO,188258.49,NO
2021,Germany,Female,NO,NO,197322.13,NO
2022,Germany,Male,YES,NO,80241.14,NO
2023,France,Male,NO,YES,172814.99,NO
2024,Spain,Female,NO,NO,38410.74,YES
2025,France,Male,NO,NO,17622.82,NO
2026,Spain,Female,NO,YES,48021.71,NO
2027,France,Female,YES,NO,88958.49,YES
2028,France,Female,YES,NO,116343.09,NO
2029,France,Male,YES,YES,166102.61,NO
2030,Spain,Female,NO,YES,104353.26,NO
2031,France,Male,YES,YES,115429.32,NO
2032,Germany,Female,YES,NO,178106.34,YES
2033,Spain,Male,YES,NO,132152.32,NO
2034,Germany,Male,YES,YES,21521.38,NO
2035,France,Female,YES,YES,27431.62,NO
2036,Spain,Male,NO,YES,42143.61,NO
2037,Spain,Female,NO,NO,106457.11,YES
2038,France,Male,YES,YES,133831.37,YES
2039,Germany,Female,YES,YES,164083.72,NO
2040,France,Female,NO,YES,159207.34,NO
2041,France,Female,YES,NO,84487.62,NO
2042,Germany,Female,YES,NO,3674.71,NO
2043,France,Male,NO,YES,12092.03,NO
2044,France,Male,YES,NO,77475.73,NO
2045,France,Female,NO,NO,41291.73,NO
2046,Germany,Male,YES,YES,343.38,NO
2047,France,Male,NO,NO,47432.43,NO
2048,France,Female,YES,NO,127827.18,NO
2049,France,Female,YES,YES,35633.15,YES
2050,France,Female,YES,YES,182865.09,YES
2051,France,Female,NO,NO,169386.81,NO
2052,Germany,Male,NO,YES,149073.88,NO
2053,France,Male,NO,NO,184107.26,YES
2054,France,Male,YES,YES,22750.17,NO
2055,Germany,Male,NO,NO,11950.29,NO
2056,Spain,Male,YES,YES,152880.07,YES
2057,France,Male,YES,NO,175252.78,NO
2058,France,Male,YES,NO,174303.29,NO
2059,Spain,Female,YES,YES,80701.72,NO
2060,Spain,Male,YES,NO,198516.2,NO
2061,Germany,Female,YES,NO,175756.36,NO
2062,Germany,Female,NO,YES,82824.08,NO
2063,Germany,Female,YES,NO,179866.01,YES
2064,France,Male,YES,YES,159899.97,NO
2065,France,Male,YES,NO,138504.28,NO
2066,Germany,Male,YES,YES,127394.67,NO
2067,France,Male,YES,YES,58961.49,NO
2068,Spain,Female,YES,NO,103644.98,YES
2069,Germany,Male,YES,YES,119647.7,NO
2070,France,Female,YES,NO,28465.86,YES
2071,Spain,Female,YES,YES,152979.14,NO
2072,France,Male,YES,YES,190911.02,NO
2073,Spain,Female,YES,YES,95794.98,NO
2074,Germany,Male,YES,NO,189742.78,YES
2075,Germany,Male,YES,YES,188574.08,NO
2076,France,Male,NO,NO,183872.88,YES
2077,Spain,Female,NO,NO,196555.32,NO
2078,France,Male,YES,YES,112503.24,YES
2079,France,Male,YES,NO,46864.0,NO
2080,France,Female,YES,NO,65864.4,YES
2081,Germany,Male,YES,YES,125167.92,NO
2082,Spain,Male,YES,YES,177519.39,NO
2083,France,Male,YES,YES,169653.32,NO
2084,France,Female,YES,NO,118372.55,YES
2085,Germany,Male,YES,NO,16481.12,NO
2086,Spain,Female,YES,YES,138525.19,NO
2087,France,Female,YES,NO,14608.0,YES
2088,Germany,Female,NO,YES,81548.38,NO
2089,France,Female,NO,NO,69608.48,NO
2090,Spain,Male,YES,NO,68873.8,NO
2091,France,Female,YES,NO,81102.81,NO
2092,Spain,Male,NO,YES,81054.0,YES
2093,France,Male,YES,YES,74149.77,NO
2094,Spain,Male,NO,NO,99503.19,NO
2095,Germany,Female,YES,NO,10109.47,NO
2096,France,Female,YES,YES,58855.85,NO
2097,Spain,Male,NO,YES,84402.46,NO
2098,France,Female,YES,NO,49713.87,YES
2099,France,Male,YES,YES,133537.53,NO
2100,France,Male,YES,NO,124615.59,NO
2101,Spain,Female,NO,YES,98090.69,NO
2102,Germany,Female,YES,YES,42607.69,NO
2103,France,Male,YES,YES,192434.11,NO
2104,France,Male,NO,NO,60686.4,NO
2105,France,Female,YES,YES,49463.44,NO
2106,Germany,Female,YES,NO,81431.99,YES
2107,Spain,Female,NO,YES,22909.56,NO
2108,Germany,Male,YES,YES,65532.17,NO
2109,Spain,Male,NO,YES,141053.85,NO
2110,Germany,Female,YES,YES,3472.63,YES
2111,France,Male,YES,NO,102083.78,NO
2112,Spain,Female,YES,NO,1801.77,NO
2113,Germany,Male,NO,NO,85185.44,NO
2114,Spain,Male,YES,NO,119882.7,NO
2115,Germany,Female,YES,NO,83715.66,YES
2116,France,Male,YES,NO,23425.78,NO
2117,France,Male,NO,YES,77326.78,NO
2118,France,Female,YES,NO,156150.08,YES
2119,France,Male,YES,NO,108577.97,NO
2120,Germany,Female,YES,YES,133573.29,YES
2121,France,Male,NO,YES,102057.86,NO
2122,Spain,Female,NO,NO,47247.56,NO
2123,Germany,Female,YES,NO,114566.47,NO
2124,France,Male,NO,NO,184464.7,YES
2125,France,Female,NO,YES,151401.33,NO
2126,France,Female,YES,YES,70607.1,NO
2127,Germany,Male,YES,NO,147074.67,NO
2128,France,Male,NO,YES,105780.18,NO
2129,France,Male,YES,NO,109496.45,NO
2130,France,Female,YES,YES,137739.45,NO
2131,France,Male,YES,NO,105140.92,NO
2132,Spain,Female,YES,YES,113276.46,YES
2133,France,Female,YES,NO,172531.23,NO
2134,France,Male,YES,NO,64375.4,NO
2135,Germany,Male,YES,NO,28434.44,YES
2136,France,Male,YES,YES,46941.41,NO
2137,France,Female,YES,NO,29333.01,NO
2138,Spain,Male,YES,YES,193724.51,NO
2139,France,Female,YES,NO,34967.75,YES
2140,France,Male,YES,NO,55663.85,NO
2141,France,Male,YES,YES,55753.12,YES
2142,France,Male,YES,NO,176962.31,NO
2143,France,Male,YES,YES,181507.44,NO
2144,Spain,Male,YES,NO,61995.57,NO
2145,Spain,Male,YES,NO,98349.13,NO
2146,France,Male,NO,YES,59748.19,NO
2147,France,Male,YES,YES,159840.51,NO
2148,Spain,Male,YES,YES,6656.64,NO
2149,Spain,Male,YES,NO,37141.62,YES
2150,France,Male,NO,YES,37094.75,NO
2151,France,Male,YES,NO,159475.08,YES
2152,France,Female,NO,YES,51548.14,YES
2153,France,Male,NO,NO,58719.63,YES
2154,Germany,Male,NO,NO,7861.68,YES
2155,France,Female,YES,NO,19199.61,NO
2156,France,Male,YES,NO,178504.29,NO
2157,France,Female,YES,YES,189016.14,NO
2158,France,Female,YES,YES,156048.64,NO
2159,France,Male,NO,YES,52876.41,NO
2160,France,Male,NO,YES,19653.08,NO
2161,Germany,Male,YES,NO,139451.98,NO
2162,France,Female,YES,NO,128136.29,NO
2163,France,Male,YES,YES,45206.57,NO
2164,Spain,Male,YES,YES,190146.83,NO
2165,France,Male,NO,YES,158313.87,NO
2166,France,Male,YES,YES,96670.2,NO
2167,France,Male,NO,YES,62163.53,NO
2168,Germany,Female,YES,NO,88428.41,YES
2169,Germany,Male,YES,YES,35908.46,NO
2170,France,Male,NO,YES,168780.04,NO
2171,Germany,Male,YES,YES,191263.76,NO
2172,Germany,Male,YES,YES,83052.03,NO
2173,France,Female,YES,YES,125962.02,NO
2174,France,Male,YES,NO,164696.27,NO
2175,Germany,Female,NO,NO,187011.96,NO
2176,Spain,Male,YES,YES,55324.49,NO
2177,France,Female,NO,YES,34335.55,NO
2178,Spain,Female,YES,NO,17004.14,NO
2179,Spain,Male,NO,NO,116331.42,NO
2180,France,Female,NO,YES,22974.01,NO
2181,Germany,Female,YES,YES,49725.16,YES
2182,Spain,Male,NO,YES,87412.74,NO
2183,France,Male,YES,YES,26136.89,NO
2184,France,Female,YES,NO,126554.96,NO
2185,Spain,Male,YES,YES,193321.3,NO
2186,Germany,Male,YES,NO,90928.02,YES
2187,Spain,Male,YES,YES,76510.46,NO
2188,Spain,Female,YES,YES,120115.5,NO
2189,France,Male,YES,YES,197984.58,NO
2190,Germany,Female,YES,NO,142977.05,YES
2191,Spain,Female,YES,NO,82522.61,YES
2192,France,Male,YES,NO,150664.97,NO
2193,France,Male,YES,YES,114153.44,NO
2194,France,Female,YES,YES,171706.66,NO
2195,Spain,Female,NO,NO,119071.56,YES
2196,Germany,Male,YES,YES,143007.49,YES
2197,Spain,Male,YES,YES,31302.35,NO
2198,Spain,Male,YES,NO,71139.8,NO
2199,France,Male,YES,NO,54122.89,NO
2200,France,Male,YES,YES,120031.29,NO
2201,France,Male,YES,NO,104076.51,NO
2202,Spain,Male,YES,YES,175853.64,NO
2203,Spain,Male,YES,YES,175795.87,NO
2204,France,Male,YES,NO,15360.91,NO
2205,Spain,Male,NO,NO,168460.12,NO
2206,France,Male,YES,YES,181177.9,NO
2207,France,Female,NO,NO,58363.94,NO
2208,France,Female,YES,NO,20276.87,YES
2209,Spain,Male,NO,NO,91514.62,NO
2210,Germany,Female,NO,YES,76703.1,NO
2211,France,Male,YES,NO,110887.14,NO
2212,Germany,Female,NO,NO,109843.16,NO
2213,Germany,Female,YES,YES,12577.21,YES
2214,France,Female,NO,YES,179365.1,NO
2215,France,Male,YES,YES,65816.53,NO
2216,France,Female,YES,NO,124170.9,NO
2217,Spain,Male,YES,NO,175015.12,NO
2218,Spain,Female,YES,YES,115441.66,NO
2219,Germany,Female,NO,YES,128247.03,NO
2220,Germany,Female,YES,NO,141914.94,NO
2221,Germany,Female,YES,NO,115566.57,YES
2222,Germany,Male,YES,YES,175423.69,NO
2223,France,Male,YES,YES,133447.49,NO
2224,Spain,Male,YES,NO,114474.98,NO
2225,Germany,Male,NO,YES,52044.66,NO
2226,Spain,Male,YES,YES,180290.68,NO
2227,Spain,Male,YES,YES,132034.13,NO
2228,France,Female,YES,NO,20968.88,NO
2229,Spain,Male,YES,NO,158735.1,NO
2230,France,Female,YES,YES,196134.44,NO
2231,France,Male,YES,NO,22374.97,NO
2232,Spain,Male,YES,NO,161668.15,NO
2233,Spain,Male,NO,NO,67339.34,NO
2234,France,Female,YES,YES,56229.72,YES
2235,Spain,Female,YES,NO,140991.23,YES
2236,Germany,Male,NO,NO,177644.52,YES
2237,France,Female,YES,NO,142342.55,YES
2238,France,Male,YES,YES,154559.28,NO
2239,France,Female,YES,YES,176570.28,YES
2240,Germany,Female,NO,NO,191961.83,NO
2241,Germany,Male,YES,NO,9452.88,YES
2242,Germany,Female,YES,YES,165257.31,NO
2243,Spain,Male,YES,NO,169763.89,YES
2244,France,Female,YES,YES,160663.11,NO
2245,France,Female,YES,YES,192072.1,YES
2246,Spain,Female,YES,NO,93275.61,NO
2247,Germany,Female,NO,YES,112269.67,NO
2248,Spain,Female,NO,NO,2186.83,NO
2249,France,Male,YES,YES,43075.7,NO
2250,Spain,Male,YES,YES,12368.11,NO
2251,Spain,Female,YES,NO,42410.21,NO
2252,Germany,Female,NO,YES,190430.81,NO
2253,Spain,Female,YES,YES,138394.37,NO
2254,France,Male,NO,YES,172501.38,NO
2255,Spain,Male,YES,YES,197916.43,NO
2256,France,Male,YES,YES,7035.36,NO
2257,Spain,Female,YES,YES,159676.55,NO
2258,France,Female,NO,YES,80603.99,NO
2259,France,Female,YES,NO,187599.8,NO
2260,France,Male,YES,YES,94450.97,NO
2261,Germany,Female,YES,YES,143981.27,NO
2262,France,Male,YES,NO,26450.57,YES
2263,France,Female,NO,NO,164482.92,NO
2264,France,Female,YES,YES,84012.81,NO
2265,France,Female,YES,NO,101192.08,NO
2266,Germany,Female,YES,NO,175324.74,YES
2267,France,Male,YES,NO,197226.32,NO
2268,France,Female,YES,NO,99504.03,YES
2269,France,Female,NO,YES,83700.66,NO
2270,France,Female,NO,NO,28226.15,YES
2271,Germany,Male,YES,NO,35321.65,NO
2272,Germany,Female,YES,YES,41229.73,YES
2273,Spain,Female,NO,YES,78970.58,NO
2274,France,Female,YES,NO,107890.69,YES
2275,France,Female,YES,YES,191870.28,NO
2276,France,Female,YES,NO,7905.06,YES
2277,France,Female,YES,NO,65731.53,NO
2278,France,Female,NO,YES,145698.73,NO
2279,Spain,Male,YES,NO,50046.25,NO
2280,France,Male,YES,YES,60830.24,NO
2281,Germany,Female,NO,NO,158853.98,NO
2282,France,Male,NO,NO,111243.09,NO
2283,France,Male,YES,YES,171014.69,NO
2284,Germany,Male,YES,NO,170835.32,NO
2285,Germany,Male,YES,YES,47775.34,YES
2286,Germany,Male,NO,NO,139297.71,NO
2287,France,Male,YES,NO,195167.38,NO
2288,France,Female,YES,YES,160948.87,NO
2289,France,Male,NO,YES,44965.54,YES
2290,Spain,Male,YES,NO,52137.73,NO
2291,Spain,Male,YES,NO,109296.18,NO
2292,France,Male,YES,YES,20092.89,NO
2293,Spain,Female,YES,NO,197804.0,YES
2294,France,Male,YES,NO,118782.06,NO
2295,France,Male,NO,YES,152876.13,YES
2296,Germany,Male,NO,YES,135655.29,YES
2297,France,Female,YES,YES,103970.58,NO
2298,Germany,Male,YES,YES,35786.76,NO
2299,Germany,Female,YES,YES,25325.07,NO
2300,Spain,Female,YES,NO,18732.84,NO
2301,France,Female,YES,YES,118522.73,NO
2302,France,Female,NO,YES,89972.25,NO
2303,Spain,Male,NO,YES,187194.15,NO
2304,Spain,Female,YES,YES,106785.7,NO
2305,France,Male,YES,NO,142516.35,NO
2306,France,Female,YES,NO,73334.43,NO
2307,Germany,Male,NO,YES,186612.47,NO
2308,Germany,Female,YES,NO,123613.81,NO
2309,Germany,Male,YES,YES,31368.08,YES
2310,France,Male,YES,YES,40066.95,NO
2311,France,Male,NO,NO,175969.19,NO
2312,France,Female,NO,NO,10034.77,YES
2313,Germany,Female,YES,NO,151167.94,NO
2314,Spain,Female,YES,NO,191387.76,NO
2315,France,Female,YES,NO,51229.17,NO
2316,Germany,Female,YES,YES,87351.42,YES
2317,France,Female,YES,YES,48984.95,NO
2318,Spain,Male,YES,YES,182738.0,NO
2319,Germany,Female,YES,YES,153535.27,NO
2320,Germany,Female,YES,YES,125079.65,NO
2321,Germany,Male,YES,YES,162321.26,NO
2322,Spain,Female,YES,NO,3414.72,NO
2323,France,Male,YES,NO,165082.25,NO
2324,France,Female,YES,YES,52021.39,NO
2325,Spain,Male,YES,NO,148256.43,NO
2326,Spain,Male,NO,NO,122899.01,NO
2327,France,Male,YES,YES,10771.46,NO
2328,Spain,Male,YES,YES,18255.51,NO
2329,France,Male,YES,NO,183566.78,NO
2330,Spain,Female,YES,YES,175224.12,NO
2331,Germany,Male,YES,NO,147913.56,NO
2332,France,Female,YES,NO,180598.66,NO
2333,Spain,Male,YES,NO,186136.48,NO
2334,Spain,Female,NO,NO,7455.2,NO
2335,Germany,Female,YES,YES,80552.11,YES
2336,France,Male,YES,NO,25722.28,YES
2337,Spain,Female,NO,NO,170996.86,NO
2338,France,Male,YES,YES,20603.32,NO
2339,Germany,Male,NO,NO,141763.26,NO
2340,Germany,Male,NO,NO,122284.38,YES
2341,France,Female,YES,NO,190011.85,NO
2342,Spain,Male,YES,NO,128046.98,NO
2343,Germany,Male,YES,YES,135662.17,NO
2344,Germany,Female,YES,NO,7571.51,YES
2345,Spain,Male,YES,NO,23596.24,NO
2346,Germany,Male,NO,NO,92727.42,YES
2347,Germany,Male,YES,NO,65156.83,YES
2348,France,Male,NO,NO,60151.77,NO
2349,Germany,Female,YES,NO,149097.38,YES
2350,Germany,Female,YES,NO,35199.24,YES
2351,France,Male,YES,NO,129451.29,YES
2352,Spain,Female,YES,YES,145134.49,YES
2353,France,Female,YES,NO,192709.69,NO
2354,Germany,Male,YES,NO,139083.7,NO
2355,Spain,Female,YES,YES,83629.6,YES
2356,Germany,Female,YES,NO,35625.41,NO
2357,France,Female,YES,NO,35338.96,NO
2358,France,Male,NO,YES,15602.8,NO
2359,Germany,Male,YES,YES,182355.21,NO
2360,Germany,Female,YES,NO,89327.67,NO
2361,Germany,Female,YES,YES,151903.6,NO
2362,Germany,Male,YES,YES,11.58,YES
2363,France,Female,NO,YES,77519.62,NO
2364,France,Female,NO,NO,91423.69,NO
2365,Germany,Male,NO,NO,106287.77,NO
2366,France,Male,YES,NO,161800.77,NO
2367,Germany,Male,YES,NO,80582.34,YES
2368,Spain,Male,YES,YES,185094.48,NO
2369,Spain,Female,YES,NO,172586.89,YES
2370,France,Female,YES,NO,195649.79,NO
2371,France,Female,YES,YES,145792.01,NO
2372,Germany,Female,YES,NO,138510.01,YES
2373,France,Male,YES,NO,168895.06,NO
2374,Spain,Male,YES,NO,97983.44,NO
2375,Spain,Female,YES,YES,85167.88,NO
2376,Spain,Male,YES,YES,18210.36,NO
2377,France,Male,NO,YES,13608.18,NO
2378,France,Female,YES,YES,110457.99,NO
2379,France,Male,NO,NO,31231.35,NO
2380,France,Male,YES,NO,141582.66,NO
2381,Spain,Female,NO,NO,14666.35,YES
2382,France,Male,YES,YES,55400.17,NO
2383,France,Male,NO,NO,174667.65,NO
2384,France,Female,YES,NO,154189.08,NO
2385,France,Male,NO,NO,142170.44,NO
2386,France,Male,YES,NO,94499.06,NO
2387,Spain,Female,NO,YES,182081.45,NO
2388,Germany,Male,YES,NO,68562.26,YES
2389,Spain,Female,YES,NO,88798.02,NO
2390,Germany,Male,YES,NO,113781.99,NO
2391,France,Male,YES,NO,121866.87,NO
2392,Spain,Male,YES,YES,150390.57,NO
2393,Germany,Male,YES,NO,60708.72,YES
2394,France,Male,YES,YES,78858.07,NO
2395,France,Male,NO,NO,56407.42,YES
2396,France,Female,NO,YES,125698.97,NO
2397,Spain,Female,YES,NO,23235.38,NO
2398,Spain,Female,YES,YES,75732.25,NO
2399,Germany,Male,YES,NO,179861.79,NO
2400,Germany,Male,YES,YES,42976.64,NO
2401,Spain,Male,NO,YES,10486.69,NO
2402,France,Male,YES,NO,56794.73,NO
2403,France,Female,NO,YES,28157.34,NO
2404,Germany,Male,NO,NO,152422.91,YES
2405,France,Male,YES,NO,167033.83,NO
2406,Spain,Male,YES,YES,126082.18,NO
2407,Germany,Female,YES,NO,181499.77,YES
2408,Spain,Male,YES,YES,41967.03,NO
2409,Germany,Male,NO,NO,186300.59,NO
2410,France,Female,YES,NO,85412.54,NO
2411,Germany,Female,YES,YES,23343.18,NO
2412,France,Male,YES,NO,180698.32,NO
2413,Germany,Female,YES,YES,136071.05,NO
2414,France,Female,YES,NO,175149.2,YES
2415,France,Male,YES,YES,146949.74,NO
2416,France,Male,YES,NO,88920.68,NO
2417,Spain,Female,YES,YES,45098.62,NO
2418,France,Male,YES,YES,20339.79,YES
2419,Spain,Female,NO,YES,108528.74,NO
2420,France,Female,YES,NO,145560.38,NO
2421,Germany,Female,YES,YES,199357.24,NO
2422,France,Female,YES,YES,43106.17,NO
2423,France,Female,YES,NO,137508.31,NO
2424,France,Male,YES,YES,91957.39,NO
2425,Spain,Female,YES,YES,120612.11,NO
2426,France,Female,YES,NO,102921.17,NO
2427,Germany,Female,YES,YES,31686.33,YES
2428,France,Male,YES,NO,180002.42,NO
2429,France,Male,YES,YES,28407.4,NO
2430,Germany,Female,NO,YES,73743.95,YES
2431,France,Male,YES,YES,186233.26,YES
2432,Germany,Male,YES,NO,31728.86,YES
2433,Spain,Female,YES,YES,48244.64,NO
2434,France,Female,YES,NO,113266.28,YES
2435,Germany,Male,YES,NO,71178.09,NO
2436,Spain,Male,NO,NO,25684.93,NO
2437,France,Male,NO,NO,29737.14,NO
2438,Germany,Female,YES,YES,149922.38,YES
2439,France,Female,YES,NO,180702.12,YES
2440,Spain,Male,NO,YES,27597.59,NO
2441,Spain,Male,YES,YES,95025.27,NO
2442,France,Female,YES,NO,167035.07,NO
2443,France,Male,NO,YES,116781.71,NO
2444,Germany,Female,NO,NO,21170.81,NO
2445,France,Female,YES,YES,29641.58,NO
2446,France,Male,YES,YES,116520.07,NO
2447,France,Male,NO,YES,44220.4,NO
2448,Germany,Male,YES,NO,166188.28,NO
2449,Germany,Female,NO,YES,140857.76,YES
2450,France,Female,YES,NO,37024.28,NO
2451,France,Male,YES,NO,27513.47,NO
2452,France,Female,YES,NO,17744.72,NO
2453,Spain,Female,YES,YES,4423.63,NO
2454,Germany,Female,NO,NO,109718.44,YES
2455,France,Male,NO,YES,107243.31,YES
2456,Spain,Female,NO,YES,115288.24,NO
2457,Spain,Female,NO,YES,41233.97,NO
2458,Spain,Male,YES,YES,52952.24,NO
2459,France,Male,NO,NO,78955.8,YES
2460,Germany,Male,YES,NO,26025.6,YES
2461,France,Male,YES,YES,174536.17,NO
2462,France,Female,YES,YES,147311.47,YES
2463,France,Male,NO,YES,77965.44,NO
2464,Germany,Male,YES,YES,5635.63,NO
2465,Spain,Female,NO,YES,81310.1,NO
2466,Germany,Male,NO,NO,111421.45,NO
2467,France,Female,NO,NO,190269.21,NO
2468,France,Male,YES,YES,100950.48,NO
2469,Germany,Male,YES,YES,113033.73,YES
2470,Spain,Female,NO,YES,120663.57,NO
2471,Germany,Male,YES,NO,187192.23,NO
2472,France,Male,YES,YES,97825.23,NO
2473,Germany,Female,YES,NO,169621.69,YES
2474,France,Female,YES,NO,191557.1,YES
2475,France,Male,YES,NO,103287.62,NO
2476,Germany,Female,YES,YES,167538.66,NO
2477,France,Female,YES,NO,64869.32,YES
2478,France,Female,YES,NO,102426.06,NO
2479,France,Female,NO,YES,107876.2,NO
2480,Germany,Male,YES,YES,37294.88,NO
2481,France,Female,YES,NO,89248.99,NO
2482,Spain,Male,NO,NO,91973.63,NO
2483,France,Male,YES,NO,16870.2,NO
2484,France,Male,YES,YES,121681.19,NO
2485,France,Female,NO,YES,33730.43,NO
2486,Spain,Female,YES,NO,104786.59,NO
2487,France,Female,YES,NO,94790.34,NO
2488,Spain,Female,NO,NO,28726.07,NO
2489,France,Male,YES,YES,67057.27,NO
2490,Germany,Female,YES,NO,69079.85,NO
2491,Spain,Female,YES,YES,179780.74,NO
2492,Germany,Female,YES,YES,183572.39,YES
2493,Spain,Male,YES,YES,142587.32,NO
2494,France,Male,YES,YES,177844.06,NO
2495,Germany,Female,YES,NO,197634.11,YES
2496,France,Female,NO,YES,121053.19,NO
2497,France,Male,YES,YES,149613.77,NO
2498,France,Male,YES,YES,142.81,NO
2499,France,Female,NO,YES,131766.67,YES
2500,France,Male,NO,NO,53311.78,NO
2501,Germany,Female,YES,NO,107665.02,NO
2502,France,Male,YES,NO,109523.88,NO
2503,France,Female,NO,NO,112132.86,NO
2504,Spain,Female,NO,NO,113645.4,NO
2505,Germany,Female,NO,NO,180890.4,NO
2506,Spain,Male,YES,YES,70974.13,NO
2507,France,Male,NO,NO,53379.52,NO
2508,France,Male,YES,YES,158531.01,NO
2509,France,Female,YES,NO,179267.94,YES
2510,France,Female,YES,YES,84606.03,NO
2511,Germany,Female,YES,NO,56984.58,NO
2512,France,Male,YES,YES,116912.45,NO
2513,France,Male,YES,NO,102999.33,NO
2514,Germany,Female,YES,NO,132801.57,NO
2515,France,Male,YES,NO,85455.62,YES
2516,France,Female,YES,YES,98657.01,NO
2517,Germany,Male,YES,NO,107948.72,NO
2518,France,Female,YES,YES,67944.09,YES
2519,Spain,Female,YES,YES,192892.05,NO
2520,Germany,Male,YES,NO,187247.56,YES
2521,Germany,Male,YES,YES,114722.42,NO
2522,France,Male,NO,NO,111687.57,NO
2523,France,Female,YES,NO,184182.25,NO
2524,Spain,Male,YES,YES,52759.82,YES
2525,France,Male,NO,YES,126451.14,NO
2526,Spain,Female,NO,NO,12048.67,NO
2527,France,Male,YES,YES,95804.33,NO
2528,France,Male,NO,YES,197911.52,NO
2529,France,Female,YES,YES,182531.74,NO
2530,France,Female,YES,NO,168002.31,YES
2531,Germany,Male,YES,YES,79450.61,NO
2532,France,Female,NO,YES,60615.83,NO
2533,France,Male,NO,YES,8643.21,NO
2534,Germany,Female,YES,NO,172172.7,NO
2535,Germany,Male,NO,NO,174434.06,YES
2536,France,Male,NO,YES,194930.3,YES
2537,France,Female,YES,NO,137476.71,NO
2538,Spain,Male,YES,YES,94415.6,NO
2539,Germany,Female,YES,NO,120376.87,YES
2540,Germany,Female,NO,NO,97623.42,YES
2541,France,Female,NO,YES,66238.23,YES
2542,Germany,Male,YES,YES,131710.59,YES
2543,Spain,Female,NO,YES,69052.87,NO
2544,Germany,Male,NO,NO,56780.97,NO
2545,France,Female,YES,YES,170072.9,NO
2546,France,Male,YES,YES,191849.15,YES
2547,Spain,Female,NO,YES,84803.76,NO
2548,France,Male,YES,YES,31840.59,YES
2549,France,Female,YES,YES,12096.61,YES
2550,France,Male,YES,NO,44165.84,NO
2551,France,Female,YES,YES,91406.62,NO
2552,Spain,Female,YES,NO,83282.21,NO
2553,Spain,Male,YES,YES,198446.91,YES
2554,Spain,Male,NO,NO,7554.68,NO
2555,France,Male,YES,NO,80416.16,NO
2556,Spain,Female,YES,YES,164549.74,NO
2557,France,Male,YES,NO,175477.03,NO
2558,Germany,Female,YES,YES,137903.54,NO
2559,Germany,Female,YES,NO,93795.86,NO
2560,Spain,Female,NO,NO,67997.13,YES
2561,Spain,Male,YES,YES,49492.15,NO
2562,France,Female,NO,YES,35825.18,NO
2563,France,Female,YES,YES,67494.23,NO
2564,France,Female,YES,YES,73963.17,YES
2565,France,Female,NO,YES,145159.26,NO
2566,Germany,Female,YES,YES,123850.58,NO
2567,France,Male,NO,NO,23822.04,NO
2568,Germany,Female,YES,YES,45750.21,YES
2569,Germany,Female,YES,NO,159773.14,NO
2570,Spain,Female,YES,NO,84238.63,NO
2571,France,Male,NO,YES,72330.46,NO
2572,France,Male,YES,YES,26767.85,NO
2573,Spain,Male,YES,YES,164768.82,NO
2574,Germany,Female,NO,YES,1112.76,YES
2575,Germany,Male,YES,NO,176680.16,YES
2576,Spain,Male,YES,NO,43999.64,NO
2577,Germany,Male,YES,NO,140746.13,NO
2578,France,Female,NO,YES,152790.92,NO
2579,Germany,Male,YES,NO,81537.85,YES
2580,Germany,Female,YES,YES,7387.8,YES
2581,France,Male,YES,NO,183038.33,NO
2582,France,Female,YES,YES,138849.06,NO
2583,France,Female,YES,NO,170333.38,NO
2584,France,Male,NO,NO,60416.76,NO
2585,France,Male,YES,YES,100240.2,NO
2586,France,Male,YES,YES,2704.98,NO
2587,France,Male,NO,YES,68815.05,NO
2588,France,Male,YES,YES,64839.23,NO
2589,France,Male,YES,NO,144494.94,NO
2590,Spain,Male,YES,YES,185510.34,NO
2591,Germany,Male,YES,YES,56055.72,NO
2592,Germany,Male,YES,YES,155061.97,NO
2593,Germany,Male,NO,NO,119817.19,NO
2594,Germany,Female,YES,NO,16259.64,YES
2595,France,Male,YES,NO,184654.87,NO
2596,France,Female,NO,NO,5278.78,NO
2597,Spain,Female,YES,YES,113244.73,NO
2598,Spain,Male,YES,YES,8908.0,NO
2599,Spain,Male,NO,YES,64490.67,NO
2600,France,Female,YES,NO,154971.63,YES
2601,Spain,Female,YES,YES,155786.39,NO
2602,Germany,Male,YES,NO,129084.82,NO
2603,Germany,Female,NO,YES,188533.11,NO
2604,France,Male,YES,NO,13411.67,NO
2605,Spain,Female,YES,NO,15733.19,NO
2606,France,Male,YES,YES,73127.61,NO
2607,France,Male,YES,NO,101704.19,NO
2608,France,Male,YES,YES,101986.16,NO
2609,France,Female,YES,YES,114442.66,NO
2610,France,Male,YES,YES,15669.17,NO
2611,France,Male,YES,YES,157486.1,NO
2612,Spain,Male,NO,NO,131281.28,NO
2613,France,Male,NO,YES,197001.15,NO
